id,formula,sources
EVODEX.0-F2,{'H': 2},"EVODEX.0-P30,EVODEX.0-P40"
EVODEX.0-F3,{'H': -1},"EVODEX.0-P14031,EVODEX.0-P14036"
EVODEX.0-F4,{'H': -2},"EVODEX.0-P5,EVODEX.0-P16,EVODEX.0-P28,EVODEX.0-P38,EVODEX.0-P113,EVODEX.0-P292"
EVODEX.0-F14,{'O': 1},"EVODEX.0-P115,EVODEX.0-P294,EVODEX.0-P4206,EVODEX.0-P4493,EVODEX.0-P6101,EVODEX.0-P6701,EVODEX.0-P6820,EVODEX.0-P6822"
EVODEX.0-F23,{},"EVODEX.0-P210,EVODEX.0-P252,EVODEX.0-P5281,EVODEX.0-P6119,EVODEX.0-P6124,EVODEX.0-P6145,EVODEX.0-P6157,EVODEX.0-P6698,EVODEX.0-P6817,EVODEX.0-P16776,EVODEX.0-P16781,EVODEX.0-P16852,EVODEX.0-P16858,EVODEX.0-P16863,EVODEX.0-P16873,EVODEX.0-P16878,EVODEX.0-P17281,EVODEX.0-P18658,EVODEX.0-P19710,EVODEX.0-P20206,EVODEX.0-P20212,EVODEX.0-P20228,EVODEX.0-P20284,EVODEX.0-P20325,EVODEX.0-P20432,EVODEX.0-P20444,EVODEX.0-P20507,EVODEX.0-P23631,EVODEX.0-P24213,EVODEX.0-P25337,EVODEX.0-P25348,EVODEX.0-P25353,EVODEX.0-P25360,EVODEX.0-P27701,EVODEX.0-P32262,EVODEX.0-P32454,EVODEX.0-P49526,EVODEX.0-P49531,EVODEX.0-P49560"
EVODEX.0-F25,"{'N': -7, 'P': -3, 'S': -1, 'O': -16, 'C': -21, 'H': -36}","EVODEX.0-P16777,EVODEX.0-P16782,EVODEX.0-P16859,EVODEX.0-P16874"
EVODEX.0-F26,"{'O': 1, 'C': 2, 'H': 2}","EVODEX.0-P16778,EVODEX.0-P16794"
EVODEX.0-F55,"{'O': 5, 'C': 6, 'H': 10}","EVODEX.0-P18662,EVODEX.0-P20209"
EVODEX.0-F111,"{'O': -1, 'H': -2}","EVODEX.0-P6699,EVODEX.0-P6818"
EVODEX.0-F351,"{'N': -1, 'O': 1, 'H': -3}","EVODEX.0-P4198,EVODEX.0-P4496"
EVODEX.0-F428,"{'N': -1, 'H': -3}",EVODEX.0-P5282
EVODEX.0-F444,"{'N': -1, 'O': -1, 'C': -10, 'H': -7}","EVODEX.0-P37508,EVODEX.0-P37601"
EVODEX.0-F511,"{'P': -1, 'O': -4, 'H': -3}","EVODEX.0-P33626,EVODEX.0-P33631,EVODEX.0-P49529,EVODEX.0-P51654"
EVODEX.0-F513,"{'P': -1, 'O': -3, 'H': -1}","EVODEX.0-P33628,EVODEX.0-P33655"
EVODEX.0-F514,"{'N': -5, 'P': -2, 'O': -10, 'C': -10, 'H': -15}","EVODEX.0-P23596,EVODEX.0-P27245"
EVODEX.0-F520,"{'P': 1, 'O': 3, 'H': 1}","EVODEX.0-P6121,EVODEX.0-P6127"
EVODEX.0-F567,"{'C': 1, 'H': 2}","EVODEX.0-P10950,EVODEX.0-P14035"
EVODEX.0-F664,"{'N': 7, 'P': 3, 'S': 1, 'O': 16, 'C': 21, 'H': 36}","EVODEX.0-P49533,EVODEX.0-P49562"
EVODEX.0-F831,"{'P': -2, 'O': -7, 'H': -4}","EVODEX.0-P18713,EVODEX.0-P29516"
EVODEX.0-F936,"{'O': 5, 'N': 1, 'C': 8, 'H': 13}","EVODEX.0-P20408,EVODEX.0-P20594"
EVODEX.0-F1412,"{'N': -6, 'S': -1, 'O': -5, 'C': -14, 'H': -21}","EVODEX.0-P14033,EVODEX.0-P14038"
EVODEX.0-F1643,"{'N': 7, 'P': 1, 'S': 1, 'O': 9, 'C': 21, 'H': 32}","EVODEX.0-P49536,EVODEX.0-P49565"
EVODEX.0-F1658,"{'P': 3, 'N': 7, 'S': 1, 'O': 15, 'C': 21, 'H': 34}","EVODEX.0-P17011,EVODEX.0-P19825"
EVODEX.0-F1811,"{'P': -2, 'N': -2, 'O': -12, 'C': -9, 'H': -14}","EVODEX.0-P18660,EVODEX.0-P20354"
EVODEX.0-F2095,"{'N': -1, 'O': -2, 'C': -10, 'H': -9}","EVODEX.0-P37507,EVODEX.0-P37600"
